id,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
0,2.3859,15,3.827160494,1.112099644,1280,2.486988848,34.6,-120.12,0.98
1,3.7188,17,6.013372957,1.054216867,1504,3.813084112,38.69,-121.22,0.946
2,4.775,27,6.535603715,1.103174603,1061,2.46460177,34.71,-120.45,1.576
3,2.4138,16,3.350203409,0.965432099,1255,2.089285714,32.66,-117.09,1.336
4,3.75,52,4.28440367,1.069246436,1793,1.604790419,37.8,-122.41,4.5
5,6.8075,26,6.764371895,1.09178744,2147,2.703539823,33.84,-118.31,3.714
6,2.3654,21,4.734883721,1.011395555,1112,2.937246964,35.65,-117.64,0.811
7,2.3562,31,5.186567164,1.154228856,1346,3.348258706,32.68,-117.07,0.824
8,2.2672,23,4.640155211,1.064301552,628,1.774461028,38.53,-121.43,0.995
9,5.637,20,4.391862955,1.053311793,1634,2.681388013,33.88,-118.36,2.291
10,2.6058,26,4.295049505,1.024242424,1667,4.287313433,34.04,-117.74,1.393
11,6.3942,23,7.010324484,1,1333,2.817258883,37.89,-122.08,2.092
12,4.7222,16,5.828196347,1.067137809,1275,2.727959698,34.17,-118.38,1.825
13,6.311,14,7.043478261,1.027659574,1573,3.143410853,37.21,-121.87,2.836
14,1.8792,26,4.983398438,1.1109375,1560,2.184126984,36.8,-119.8,0.771
15,3.2823,10,4.965882353,1.052888527,1727,2.190812721,38.03,-122.06,2.25
16,2.375,44,3.837209302,1.069767442,1278,4.23255814,34.07,-118.19,1.507
17,2.7543,38,3.759864713,1.038331454,1605,4.072153326,33.97,-118.28,1.629
18,12.4118,18,8.863080685,1.112081514,1288,3.050391937,34.04,-118.9,5.00001
19,4.1518,18,4.756544503,1.067615658,3055,2.280737705,34.15,-118.43,3.433
20,3.0139,29,5.438016529,1.030075188,1652,3.103773585,34.13,-117.32,0.926
21,7.7846,8,6.459269663,1.057038835,7249,2.858349224,37.89,-122.04,3.49
22,1.4889,36,3.832167832,1.059340659,1532,2.716783217,33.98,-118.23,0.861
23,2.3824,46,3.672376874,1.184331797,692,1.973474801,33.77,-118.2,1.625
24,1.7596,21,3.893175074,1.016756032,1012,4.758426966,36.76,-119.75,0.832
25,4.1947,22,6.106212425,1.037328094,1637,3.093959732,33.87,-117.89,1.816
26,2.2437,16,5.602434077,1.140811456,895,2.406113537,33.23,-117.23,0.737
27,0.9705,12,4.766666667,1.28,1175,2.162666667,33.8,-116.49,0.938
28,2.5437,10,3.799516908,1.106382979,1237,1.422325581,32.69,-117.18,0.96
29,1.8355,43,4,1,683,2.848484848,37.66,-121,1.001
30,3.8,37,3.492063492,0.976351351,515,2,33.91,-118.34,1.358
31,3.3214,32,5.312457454,1,1227,3.868995633,33.76,-117.9,1.691
32,1.4282,43,3.442692308,0.987980769,1519,1.894097222,34.15,-117.28,0.647
33,3.3047,29,4.1625,0.930232558,1134,3.534883721,33.91,-118.09,1.599
34,3.1497,25,3.981273408,1.108462455,2254,1.717011129,34.02,-118.4,3.26
35,3.1771,23,4.62005277,1.113895216,1118,2.109841828,37.81,-122.26,2.598
36,2.7269,52,4.295819936,1.098187311,1213,1.968503937,37.88,-122.27,1.305
37,2.6994,15,4.778195489,1.064516129,2830,3.509561581,33.79,-116.21,0.673
38,2.7736,52,3.639344262,1.051612903,1297,1.903225806,34.16,-118.34,3.75
39,3.2083,33,3.791814947,0.996587031,1373,2.443060498,34.09,-118.32,1.574
40,3.6897,17,5.874251497,1.052139037,1083,2.312668464,38.75,-121.26,1.201
41,3.7174,27,5.674285714,1.062857143,2336,2.817285714,37.68,-121.91,2.132
42,1.4007,35,2.803339518,1.100139082,1544,3.006593407,34.06,-118.19,1
43,4.837,36,4.929648241,1.058270677,2530,2.246231156,37.78,-122.5,2.516
44,3,52,4.642045455,1.0390625,1046,2.726384365,36.79,-119.71,0.553
45,2.3029,11,5.445179584,1.001996008,1462,3.572347267,32.73,-117.01,1.083
46,2.85,7,4.711111111,1.155555556,2340,3.688888889,34.06,-117.68,1.538
47,6.8279,18,6.883966245,1.138492872,1410,2.596412556,37.73,-122.14,4.351
48,5.0151,30,5.583636364,0.981818182,2319,2.738181818,34.12,-118.09,3.547
49,2.067,6,5.208860759,1.087412587,1508,3.610032362,38.48,-121.47,1.063
50,3.115,23,4.191176471,1.014705882,2795,4.198529412,34.27,-118.43,1.628
51,5.7287,6,7.672727273,1.172727273,1776,2.845454545,33.92,-117.55,3.489
52,3.8125,11,5.6875,1.05,297,1.8125,37.94,-122.33,1.162
53,2.1836,28,5.036511156,1.094707521,1213,2.481792717,37.32,-120.43,0.821
54,3.8472,52,5.958762887,1.079872204,1045,3.079872204,37.95,-122.35,1.148
55,2.3639,52,4.463446475,1.076252723,1503,1.938871473,34.08,-117.18,1.491
56,2.2297,28,3.343866171,1.055865922,3437,2.629955947,33.97,-118.03,1.742
57,1.3278,29,3.930604982,1.118623962,805,2.506524318,39.14,-123.2,0.494
58,6.4667,8,7.060755337,1.0304679,7775,2.57267951,37.77,-122.45,4.55
59,2.8958,13,4.23956044,1.032520325,1009,2.177846154,34.21,-118.44,1.857
60,5.5435,28,5.006849315,1,1057,3.086956522,34.05,-118.34,3.381
61,4.3427,45,4.831343284,1.052264808,588,1.794951807,34.05,-118.39,4.301
62,4.6681,18,6,1.095588235,841,3.178877888,32.96,-117.12,2.706
63,1.8448,31,3.090106007,1.078349901,1714,3.680100756,34.16,-118.15,1.553
64,4.2566,30,5.251173709,1.015267176,1548,2.718204489,38.55,-121.79,1.745
65,1.0467,43,2.744648318,1.169398907,1807,1.829341317,33.77,-118.19,0.552
66,5.5425,13,5.35154827,1.098389982,1615,2.714425215,33.68,-117.79,2.232
67,2.7179,30,4.636363636,1.04805382,1378,3.070921986,32.69,-117.12,1.134
68,4.6957,5,5.575438596,1.018218623,5656,2.988938053,33.13,-117.07,2.32
69,4.2297,16,6.831549296,1.089301503,2109,3.090425532,34.07,-117.7,1.161
70,4.1172,11,6.484755245,1.051282051,3565,3.867521368,32.86,-116.76,1.674
71,2.9643,25,3.405769231,1.086538462,2636,1.866157112,34.09,-118.36,2.159
72,4.2232,37,5.954206603,0.988235294,1446,2.867647059,33.92,-118.32,1.958
73,3.0592,23,4.755494505,1.153846154,3970,2.835164835,34.06,-118.14,1.875
74,2.4412,32,4.393728223,1.080139373,1019,3.72815534,33.91,-118.14,1.388
75,3.8214,27,5.642276423,1.082508251,1456,2.447509881,37.88,-122.54,3.182
76,4.2333,4,6.899598394,1.018072289,1542,3.107969152,36.81,-119.8,1.353
77,6.7248,30,6.949090909,0.963636364,1140,3.373461012,34.26,-119.19,3.284
78,1.78,41,4.283464567,1.094650206,992,4.098818475,37.96,-121.26,0.609
79,2.7813,39,4.017045455,1.045454545,1057,2.727272727,37.98,-121.28,0.78
80,3.7147,16,5.427893738,1.050445104,2312,2.719085061,33.7,-117.98,2.107
81,1.4107,21,3.744800693,1.093926111,1894,2.080527086,32.75,-117.12,1.234
82,2.7708,31,3.1609538,1.071216617,1276,5.45026178,33.97,-118.23,1.173
83,9.4894,38,7.43442623,1.032786885,654,2.893442623,34.07,-118.34,5.00001
84,1.975,24,3.913461538,1.141538462,648,4.715384615,37.39,-122.11,3.5
85,5.7248,40,5.652173913,1.038647343,1217,2.412568306,37.79,-122.23,3.337
86,2.879,24,5.800865801,1.086781609,3517,3.844106464,34.06,-117.97,1
